name,name_variants,papers_with_clevers,first_copublication,last_copublication,group_affiliation_first_year,group_affiliation_last_year,evidence_tier,site,role_assigned,role_source
"Meister, Michael","Meister, Michael",1,2019,2019,,,C,,,
"Meran, Laween","Meran, Laween",1,2019,2019,,,C,,,
"Merker, Sebastian R","Merker, Sebastian R",1,2019,2019,,,C,,,
"Moore, Kat","Moore, Kat",1,2019,2019,,,C,,,
"Mort, Richard Lester","Mort, Richard Lester",1,2019,2019,,,C,,,
"Murk, Jean-Luc","Murk, Jean-Luc",1,2019,2019,,,C,,,
"Nash, Garrett M","Nash, Garrett M",1,2019,2019,,,C,,,
"Nateri, Abdolrahman S","Nateri, Abdolrahman S",1,2019,2019,,,C,,,
"Naumann, Ronald","Naumann, Ronald",1,2019,2019,,,C,,,
"Neel, Benjamin G","Neel, Benjamin G",1,2019,2019,,,C,,,
"Newham, Peter","Newham, Peter",1,2019,2019,,,C,,,
"Ntiamoah, Peter","Ntiamoah, Peter",1,2019,2019,,,C,,,
"O'Neill, John S","O'Neill, John S",1,2019,2019,,,C,,,
"Offerhaus, Johan","Offerhaus, Johan",1,2019,2019,,,C,,,
"Olimpio, Eduardo P","Olimpio, Eduardo P",1,2019,2019,,,C,,,
"Oliveira, Sabrina","Oliveira, Sabrina",1,2019,2019,,,C,,,
"Ooft, Salo N","Ooft, Salo N",1,2019,2019,,,C,,,
"Oost, Koen C","Oost, Koen C",1,2019,2019,2019,2019,A,Hubrecht/NIOB,,
"Ortiz, Eduardo J","Ortiz, Eduardo J",1,2019,2019,,,C,,,
"Pan, Yihang","Pan, Yihang",1,2019,2019,,,C,,,
"Pappou, Emmanouil","Pappou, Emmanouil",1,2019,2019,,,C,,,
"Patil, Sujata","Patil, Sujata",1,2019,2019,,,C,,,
"Paty, Philip B","Paty, Philip B",1,2019,2019,,,C,,,
"Pearson, Helen B","Pearson, Helen B",1,2019,2019,,,C,,,
"Pelossof, Raphael","Pelossof, Raphael",1,2019,2019,,,C,,,
"Petkovska, Iva","Petkovska, Iva",1,2019,2019,,,C,,,
"Philpott, Anna","Philpott, Anna",1,2019,2019,,,C,,,
"Postrach, Daniel","Postrach, Daniel",1,2019,2019,,,C,,,
"Prevoo, Warner","Prevoo, Warner",1,2019,2019,,,C,,,
"Qiu, Jianming","Qiu, Jianming",1,2019,2019,,,C,,,
"Ramos, Emilio","Ramos, Emilio",1,2019,2019,2019,2019,A,Hubrecht/NIOB,,
"Randle, Helena J","Randle, Helena J",1,2019,2019,,,C,,,
"Reed, Martin","Reed, Martin",1,2019,2019,,,C,,,
"Reis e Sousa, Caetano","Reis e Sousa, Caetano",1,2019,2019,,,C,,,
"Revilla, Sonia Aristín","Revilla, Sonia Aristín",1,2019,2019,2019,2019,A,Hubrecht/NIOB,,
"Rodriguez, Stéphanie","Rodriguez, Stéphanie",1,2019,2019,,,C,,,
"Rogers, Neil","Rogers, Neil",1,2019,2019,,,C,,,
"Romesser, Paul B","Romesser, Paul B",1,2019,2019,,,C,,,
"Roosen, Mieke","Roosen, Mieke",1,2019,2019,2019,2019,A,Hubrecht/NIOB,,
"Rosenberg, Antoine J W P","Rosenberg, Antoine J W P",1,2019,2019,,,C,,,
"Rosenbrier-Ribeiro, Lyn","Rosenbrier-Ribeiro, Lyn",1,2019,2019,,,C,,,
"Roukema, Jolt","Roukema, Jolt",1,2019,2019,,,C,,,
"Rysztak, Madeline R","Rysztak, Madeline R",1,2019,2019,,,C,,,
"Sahai, Erik","Sahai, Erik",1,2019,2019,,,C,,,
"Saltz, Leonard B","Saltz, Leonard B",1,2019,2019,,,C,,,
"Sanchez-Vega, Francisco","Sanchez-Vega, Francisco",1,2019,2019,,,C,,,
"Sauvé, Charles-Etienne Gabriel","Sauvé, Charles-Etienne Gabriel",1,2019,2019,,,C,,,
"Schildgen, Oliver","Schildgen, Oliver",1,2019,2019,,,C,,,
"Schildgen, Verena","Schildgen, Verena",1,2019,2019,,,C,,,
"Schneider, Marc A","Schneider, Marc A",1,2019,2019,,,C,,,
"Schraml, Barbara U","Schraml, Barbara U",1,2019,2019,,,C,,,
"Seinstra, Daniëlle","Seinstra, Daniëlle",1,2019,2019,,,C,,,
"Shady, Maha","Shady, Maha",1,2019,2019,,,C,,,
"Shia, Jinru","Shia, Jinru",1,2019,2019,,,C,,,
"Smith, J Joshua","Smith, J Joshua",1,2019,2019,,,C,,,
"Sobieski, Catherine","Sobieski, Catherine",1,2019,2019,,,C,,,
"Spencer-Dene, Bradley","Spencer-Dene, Bradley",1,2019,2019,,,C,,,
"Sridevi, Priya","Sridevi, Priya",1,2019,2019,,,C,,,
"Stangherlin, Alessandra","Stangherlin, Alessandra",1,2019,2019,,,C,,,
"Stanifer, Megan","Stanifer, Megan",1,2019,2019,,,C,,,
"Strong, James S","Strong, James S",1,2019,2019,,,C,,,
"Szeglin, Bryan C","Szeglin, Bryan C",1,2019,2019,,,C,,,
"Tapia, Pablo","Tapia, Pablo",1,2019,2019,2019,2019,A,Hubrecht/NIOB,,
"Teeven, Luc","Teeven, Luc",1,2019,2019,2019,2019,A,Hubrecht/NIOB,,
"Theeuwsen, Rebecca","Theeuwsen, Rebecca",1,2019,2019,,,C,,,
"Trendafilova, Teodora","Trendafilova, Teodora",1,2019,2019,,,C,,,
"Tulchinsky, Eugene","Tulchinsky, Eugene",1,2019,2019,,,C,,,
"Turcu, Adina F","Turcu, Adina F",1,2019,2019,,,C,,,
"Urbani, Luca","Urbani, Luca",1,2019,2019,,,C,,,
"Utomo, Lizette","Utomo, Lizette",1,2019,2019,,,C,,,
"Valle-Inclan, Jose Espejo","Valle-Inclan, Jose Espejo",1,2019,2019,,,C,,,
"Vallmajo-Martin, Queralt","Vallmajo-Martin, Queralt",1,2019,2019,,,C,,,
"Vanderschuren, Maaike M","Vanderschuren, Maaike M",1,2019,2019,,,C,,,
"Veeraraghavan, Harini","Veeraraghavan, Harini",1,2019,2019,,,C,,,
"Vis, Daniel J","Vis, Daniel J",1,2019,2019,,,C,,,
"Voss, Yannik","Voss, Yannik",1,2019,2019,,,C,,,
"Vreeswijk, Maaike P G","Vreeswijk, Maaike P G",1,2019,2019,,,C,,,
"Vrieling, Harry","Vrieling, Harry",1,2019,2019,,,C,,,
"Wasserman, Isaac","Wasserman, Isaac",1,2019,2019,,,C,,,
"Wei, Iris H","Wei, Iris H",1,2019,2019,,,C,,,
"Weiser, Martin R","Weiser, Martin R",1,2019,2019,,,C,,,
"Wellens, Lianne M","Wellens, Lianne M",1,2019,2019,2019,2019,A,Hubrecht/NIOB + Princess Máxima,,
"Wienert, Stephan","Wienert, Stephan",1,2019,2019,,,C,,,
"Won, Helen H","Won, Helen H",1,2019,2019,,,C,,,
"Woodfield, Tim B F","Woodfield, Tim B F",1,2019,2019,,,C,,,
"Wu, Chao","Wu, Chao",1,2019,2019,,,C,,,
"Xie, Ying","Xie, Ying",1,2019,2019,,,C,,,
"Yaeger, Rona","Yaeger, Rona",1,2019,2019,,,C,,,
"Yan, Ziying","Yan, Ziying",1,2019,2019,,,C,,,
"Yum, Min Kyu","Yum, Min Kyu",1,2019,2019,,,C,,,
"Zhang, Kelvin Xi","Zhang, Kelvin Xi",1,2019,2019,,,C,,,
"Zheng, Youyun","Zheng, Youyun",1,2019,2019,,,C,,,
"Zhu, Ji","Zhu, Ji",1,2019,2019,,,C,,,
"Zomer-van Ommen, Domenique D","Zomer-van Ommen, Domenique D",1,2019,2019,,,C,,,
"de Jongh, Evelien","de Jongh, Evelien",1,2019,2019,2019,2019,A,Hubrecht/NIOB,,
"de Ruiter, Emma J","de Ruiter, Emma J",1,2019,2019,,,C,,,
"van Blijswijk, Janneke","van Blijswijk, Janneke",1,2019,2019,,,C,,,
"van Moorsel, Coline Hm","van Moorsel, Coline Hm",1,2019,2019,,,C,,,
"van Voorthuijsen, Lisa","van Voorthuijsen, Lisa",1,2019,2019,,,C,,,
"van Werkhoven, Erik","van Werkhoven, Erik",1,2019,2019,,,C,,,
"van Wijk, Lise M","van Wijk, Lise M",1,2019,2019,,,C,,,
"van der Linden, Maarten","van der Linden, Maarten",1,2019,2019,,,C,,,
"Aalbers, Bente L","Aalbers, Bente L",1,2020,2020,,,C,,,
"Ainsworth, Stuart","Ainsworth, Stuart",1,2020,2020,,,C,,,
"Akkerdaas, Ies C","Akkerdaas, Ies C",1,2020,2020,,,C,,,
"Al-Saadi, Reem","Al-Saadi, Reem",1,2020,2020,,,C,,,
"Amaral, Ana","Amaral, Ana",1,2020,2020,,,C,,,
"Andersson, Simon","Andersson, Simon",1,2020,2020,,,C,,,
"Ardisasmita, Arif I","Ardisasmita, Arif I",1,2020,2020,,,C,,,
"Bai, Lanyue","Bai, Lanyue",1,2020,2020,,,C,,,
"Baptista, Pedro M","Baptista, Pedro M",1,2020,2020,,,C,,,
"Bar-Epraïm, Yotam E","Bar-Epraïm, Yotam E",1,2020,2020,2020,2020,A,Hubrecht/NIOB,,
"Baron, Chloé S","Baron, Chloé S",1,2020,2020,2020,2020,A,Hubrecht/NIOB,,
"Battich, Nico","Battich, Nico",1,2020,2020,2020,2020,A,Hubrecht/NIOB,,
"Baubec, Tuncay","Baubec, Tuncay",1,2020,2020,,,C,,,
"Beerenwinkel, Niko","Beerenwinkel, Niko",1,2020,2020,,,C,,,
"Bloch-Zupan, Agnès","Bloch-Zupan, Agnès",1,2020,2020,,,C,,,
"Bodewes, Frank A J A","Bodewes, Frank A J A",1,2020,2020,,,C,,,
"Boedicker, Mackenzie","Boedicker, Mackenzie",1,2020,2020,,,C,,,
"Boersma, Sanne","Boersma, Sanne",1,2020,2020,2020,2020,A,Hubrecht/NIOB,,
"Bonnet, Richard","Bonnet, Richard",1,2020,2020,,,C,,,
"Bousvaros, Athos","Bousvaros, Athos",1,2020,2020,,,C,,,
"Bozic, Ivana","Bozic, Ivana",1,2020,2020,,,C,,,
"Brandenberg, Nathalie","Brandenberg, Nathalie",1,2020,2020,,,C,,,
"Brock, Jane","Brock, Jane",1,2020,2020,,,C,,,
"Broguiere, Nicolas","Broguiere, Nicolas",1,2020,2020,,,C,,,
"Bruurs, Lucas J M","Bruurs, Lucas J M",1,2020,2020,2020,2020,A,Hubrecht/NIOB,,
"Buikema, Jan W","Buikema, Jan W",1,2020,2020,,,C,,,
"Burka, Ksenia","Burka, Ksenia",1,2020,2020,,,C,,,
"Butz, Stefan","Butz, Stefan",1,2020,2020,,,C,,,
"Calandrini, Camilla","Calandrini, Camilla",1,2020,2020,2020,2020,A,Princess Máxima,,
"Capaldo, Bianca D","Capaldo, Bianca D",1,2020,2020,,,C,,,
"Cavazza, Alessia","Cavazza, Alessia",1,2020,2020,,,C,,,
"Cherkaoui, Sarah","Cherkaoui, Sarah",1,2020,2020,,,C,,,
"Cheung, Arthur K L","Cheung, Arthur K L",1,2020,2020,,,C,,,
"Cho, Judy","Cho, Judy",1,2020,2020,,,C,,,
"Cho, Yong-Hee","Cho, Yong-Hee",1,2020,2020,,,C,,,
"Choi, Kang-Yell","Choi, Kang-Yell",1,2020,2020,,,C,,,
"Clauss, François","Clauss, François",1,2020,2020,,,C,,,
"Colemonts-Vroninks, Haaike","Colemonts-Vroninks, Haaike",1,2020,2020,,,C,,,
"Cuatrecasas, Miriam","Cuatrecasas, Miriam",1,2020,2020,,,C,,,
"Custers, Lars","Custers, Lars",1,2020,2020,2020,2020,A,Princess Máxima,,
"Dalmasso, Guillaume","Dalmasso, Guillaume",1,2020,2020,,,C,,,
"Dawson, Caleb","Dawson, Caleb",1,2020,2020,,,C,,,
"De Kock, Joery","De Kock, Joery",1,2020,2020,,,C,,,
"Dean, Justin","Dean, Justin",1,2020,2020,,,C,,,
"Demmers, Laura C","Demmers, Laura C",1,2020,2020,,,C,,,
"Depeille, Philippe","Depeille, Philippe",1,2020,2020,,,C,,,
"Dillon, Deborah","Dillon, Deborah",1,2020,2020,,,C,,,
"Dollé, Pascal","Dollé, Pascal",1,2020,2020,,,C,,,
"Dolman, Emmy","Dolman, Emmy",1,2020,2020,2020,2020,A,Princess Máxima,,
"Domènech-Moreno, Eva","Domènech-Moreno, Eva",1,2020,2020,,,C,,,
"Dubinsky, Marla","Dubinsky, Marla",1,2020,2020,,,C,,,
"Elci, Bilge","Elci, Bilge",1,2020,2020,,,C,,,
"Ernst, Andreas","Ernst, Andreas",1,2020,2020,,,C,,,
"Falk, Anna","Falk, Anna",1,2020,2020,,,C,,,
"Fan, Heng-Yu","Fan, Heng-Yu",1,2020,2020,,,C,,,
"Fan, Lingling","Fan, Lingling",1,2020,2020,,,C,,,
"Fang, Guojiu","Fang, Guojiu",1,2020,2020,,,C,,,
"Fellowes, Andrew","Fellowes, Andrew",1,2020,2020,,,C,,,
"Feng, Hua","Feng, Hua",1,2020,2020,,,C,,,
"Field, Michael","Field, Michael",1,2020,2020,,,C,,,
"Fondevila, Constantino","Fondevila, Constantino",1,2020,2020,,,C,,,
"Fox, Stephen B","Fox, Stephen B",1,2020,2020,,,C,,,
"Fraulob, Valérie","Fraulob, Valérie",1,2020,2020,,,C,,,
"Frey, Nina","Frey, Nina",1,2020,2020,,,C,,,
"Fukumoto, Keishiro","Fukumoto, Keishiro",1,2020,2020,,,C,,,
"Gao, Ganglong","Gao, Ganglong",1,2020,2020,,,C,,,
"Gao, Na","Gao, Na",1,2020,2020,,,C,,,
"Garber, Judy","Garber, Judy",1,2020,2020,,,C,,,
"Gbenedio, Oghenekevwe M","Gbenedio, Oghenekevwe M",1,2020,2020,,,C,,,
"Geraldo, Sara","Geraldo, Sara",1,2020,2020,,,C,,,
"Getreuer, Walter","Getreuer, Walter",1,2020,2020,,,C,,,
"Giannakis, Marios","Giannakis, Marios",1,2020,2020,,,C,,,
"Giner, Göknur","Giner, Göknur",1,2020,2020,,,C,,,
"Graeber, Simon Y","Graeber, Simon Y",1,2020,2020,,,C,,,
"Gray, Daniel H D","Gray, Daniel H D",1,2020,2020,,,C,,,
"Gray, G Kenneth","Gray, G Kenneth",1,2020,2020,,,C,,,
"Grebbin, Britta M","Grebbin, Britta M",1,2020,2020,,,C,,,
"Green, Thomas","Green, Thomas",1,2020,2020,,,C,,,
"Grushkin-Lerner, Leslie","Grushkin-Lerner, Leslie",1,2020,2020,,,C,,,
"Gurjao, Carino","Gurjao, Carino",1,2020,2020,,,C,,,
"Ha, Andrew","Ha, Andrew",1,2020,2020,,,C,,,
"Hartman, Johan","Hartman, Johan",1,2020,2020,,,C,,,
"Hemmerlé, Joseph","Hemmerlé, Joseph",1,2020,2020,,,C,,,
"Hemrika, Wieger","Hemrika, Wieger",1,2020,2020,,,C,,,
"Hoffmeister, Meike","Hoffmeister, Meike",1,2020,2020,,,C,,,
"Hu, Kewen","Hu, Kewen",1,2020,2020,,,C,,,
"Iglesias, Carmen Lopez","Iglesias, Carmen Lopez",1,2020,2020,,,C,,,
"Il Kim, Tae","Il Kim, Tae",1,2020,2020,,,C,,,
"Jadhav, Unmesh","Jadhav, Unmesh",1,2020,2020,,,C,,,
"Janjuha, Sharan","Janjuha, Sharan",1,2020,2020,,,C,,,
"Jonges, Geertruida Nellie","Jonges, Geertruida Nellie",1,2020,2020,,,C,,,
"Joore, Indi","Joore, Indi",1,2020,2020,2020,2020,A,Hubrecht/NIOB,,
"Kaczynska, Dagmara","Kaczynska, Dagmara",1,2020,2020,,,C,,,
"Kanatani, Shigeaki","Kanatani, Shigeaki",1,2020,2020,,,C,,,
"Kang, Dong-Woo","Kang, Dong-Woo",1,2020,2020,,,C,,,
"Kaulich, Manuel","Kaulich, Manuel",1,2020,2020,,,C,,,
"Kazandjian, Taline D","Kazandjian, Taline D",1,2020,2020,,,C,,,
"Kemmeren, Patrick","Kemmeren, Patrick",1,2020,2020,2020,2020,A,Princess Máxima,,
"Kis, Lorand","Kis, Lorand",1,2020,2020,,,C,,,
"Koch, Michael","Koch, Michael",1,2020,2020,,,C,,,
"Kolotuev, Irina","Kolotuev, Irina",1,2020,2020,,,C,,,
"Kool, Jeroen","Kool, Jeroen",1,2020,2020,,,C,,,
"Kowalik, Matthew","Kowalik, Matthew",1,2020,2020,,,C,,,
"Kremers, Gert-Jan","Kremers, Gert-Jan",1,2020,2020,,,C,,,
"Krenning, Lenno","Krenning, Lenno",1,2020,2020,2020,2020,A,Hubrecht/NIOB,,
"Kronqvist, Pauliina","Kronqvist, Pauliina",1,2020,2020,,,C,,,
"Kuijpers, Helma J H","Kuijpers, Helma J H",1,2020,2020,,,C,,,
"Kuiken, Hendrik J","Kuiken, Hendrik J",1,2020,2020,,,C,,,
"Kummeling, Anne","Kummeling, Anne",1,2020,2020,,,C,,,
"Kurinov, Igor","Kurinov, Igor",1,2020,2020,,,C,,,
"Li, Dali","Li, Dali",1,2020,2020,,,C,,,
"Lieshout, Ruby","Lieshout, Ruby",1,2020,2020,,,C,,,
"Lindh, Claes","Lindh, Claes",1,2020,2020,,,C,,,
"Lissendorp, Fianne","Lissendorp, Fianne",1,2020,2020,,,C,,,
"Liu, Kevin","Liu, Kevin",1,2020,2020,,,C,,,
"Liu, Mingyao","Liu, Mingyao",1,2020,2020,,,C,,,
"Lo, Oswens S H","Lo, Oswens S H",1,2020,2020,,,C,,,
"Louhivuori, Lauri","Louhivuori, Lauri",1,2020,2020,,,C,,,
"Luider, Theo M","Luider, Theo M",1,2020,2020,,,C,,,
"Madha, Shariq","Madha, Shariq",1,2020,2020,,,C,,,
"Maisonneuve, Pierre","Maisonneuve, Pierre",1,2020,2020,,,C,,,
"Mall, Marcus A","Mall, Marcus A",1,2020,2020,,,C,,,
"Manders, Freek","Manders, Freek",1,2020,2020,2020,2020,A,Princess Máxima,,
"Mathieu, Eric","Mathieu, Eric",1,2020,2020,,,C,,,
"Mathijsen, Luka","Mathijsen, Luka",1,2020,2020,2020,2020,A,Princess Máxima,,
"Mato-Berciano, Ana","Mato-Berciano, Ana",1,2020,2020,,,C,,,
"Mcgovern, Dermot P B","Mcgovern, Dermot P B",1,2020,2020,,,C,,,
"Meijers, Fleur M","Meijers, Fleur M",1,2020,2020,,,C,,,
"Michor, Franziska","Michor, Franziska",1,2020,2020,,,C,,,
"Mitrofanova, Olga","Mitrofanova, Olga",1,2020,2020,,,C,,,
"Miyakawa, Ayako","Miyakawa, Ayako",1,2020,2020,,,C,,,
"Morkmued, Supawich","Morkmued, Supawich",1,2020,2020,,,C,,,
"Muilwijk, Danya","Muilwijk, Danya",1,2020,2020,,,C,,,
"Murata, Kazutaka","Murata, Kazutaka",1,2020,2020,,,C,,,
"Mäkelä, Tomi P","Mäkelä, Tomi P",1,2020,2020,,,C,,,
"Nantasanti Assawarachan, Sathidpak","Nantasanti Assawarachan, Sathidpak",1,2020,2020,,,C,,,
"Nguyen, Luan","Nguyen, Luan",1,2020,2020,,,C,,,
"Niederreither, Karen","Niederreither, Karen",1,2020,2020,,,C,,,
"Niwa, Naoya","Niwa, Naoya",1,2020,2020,,,C,,,
"Nomburg, Jason","Nomburg, Jason",1,2020,2020,,,C,,,
"Ott, Melanie","Ott, Melanie",1,2020,2020,,,C,,,
"Ouahed, Jodie","Ouahed, Jodie",1,2020,2020,,,C,,,
"Oya, Mototsugu","Oya, Mototsugu",1,2020,2020,,,C,,,
"Paganelli, Fernanda L","Paganelli, Fernanda L",1,2020,2020,,,C,,,
"Pai, Sung-Yun","Pai, Sung-Yun",1,2020,2020,,,C,,,
"Pampaloni, Francesco","Pampaloni, Francesco",1,2020,2020,,,C,,,
"Pan, Hong","Pan, Hong",1,2020,2020,,,C,,,
"Pang, Xiufeng","Pang, Xiufeng",1,2020,2020,,,C,,,
"Park, Jong-Chan","Park, Jong-Chan",1,2020,2020,,,C,,,
"Pascual-Sabater, Silvia","Pascual-Sabater, Silvia",1,2020,2020,,,C,,,
"Paterson, Chay","Paterson, Chay",1,2020,2020,,,C,,,
"Paul van Schayck, J","Paul van Schayck, J",1,2020,2020,,,C,,,
"Pavlovič, Tonja","Pavlovič, Tonja",1,2020,2020,2020,2020,A,Hubrecht/NIOB,,
"Peng, Kaiyue","Peng, Kaiyue",1,2020,2020,,,C,,,
"Pirkl, Martin","Pirkl, Martin",1,2020,2020,,,C,,,
"Pla Palacin, Iris","Pla Palacin, Iris",1,2020,2020,,,C,,,
"Policheni, Antonia N","Policheni, Antonia N",1,2020,2020,,,C,,,
"Powrie, Fiona","Powrie, Fiona",1,2020,2020,,,C,,,
"Pritchard-Jones, Kathy","Pritchard-Jones, Kathy",1,2020,2020,,,C,,,
"Pronk, Robin","Pronk, Robin",1,2020,2020,,,C,,,
"Päivinen, Pekka","Päivinen, Pekka",1,2020,2020,,,C,,,
"Raimondi, Giulia","Raimondi, Giulia",1,2020,2020,,,C,,,
"Rajalingam, Krishnaraj","Rajalingam, Krishnaraj",1,2020,2020,,,C,,,
"Richardson, Andrea","Richardson, Andrea",1,2020,2020,,,C,,,
"Ringel, Till","Ringel, Till",1,2020,2020,,,C,,,
"Ro, Eun Ji","Ro, Eun Ji",1,2020,2020,,,C,,,
"Robertson, Stephanie","Robertson, Stephanie",1,2020,2020,,,C,,,
"Roest, Henk P","Roest, Henk P",1,2020,2020,,,C,,,
"Rogler, Gerhard","Rogler, Gerhard",1,2020,2020,,,C,,,
"Rovira-Rigau, Maria","Rovira-Rigau, Maria",1,2020,2020,,,C,,,
"Russo, Giancarlo","Russo, Giancarlo",1,2020,2020,,,C,,,
"Rösch, Kathrin","Rösch, Kathrin",1,2020,2020,,,C,,,
"Sahlgren, Cecilia","Sahlgren, Cecilia",1,2020,2020,,,C,,,
"Santos, António J M","Santos, António J M",1,2020,2020,,,C,,,
"Schackmann, Ron C J","Schackmann, Ron C J",1,2020,2020,,,C,,,
"Schuhbaur, Brigitte","Schuhbaur, Brigitte",1,2020,2020,,,C,,,
"Selfors, Laura M","Selfors, Laura M",1,2020,2020,,,C,,,
"Senlice, Ramazan","Senlice, Ramazan",1,2020,2020,2020,2020,A,Hubrecht/NIOB,,
"Sicheri, Frank","Sicheri, Frank",1,2020,2020,,,C,,,
"Slagboom, Julien","Slagboom, Julien",1,2020,2020,,,C,,,
"Smyth, Gordon K","Smyth, Gordon K",1,2020,2020,,,C,,,
"Spencer, Elizabeth","Spencer, Elizabeth",1,2020,2020,,,C,,,
"Spijkers, Xandor M","Spijkers, Xandor M",1,2020,2020,,,C,,,
"Srivatsa, Sumana","Srivatsa, Sumana",1,2020,2020,,,C,,,
"Stege, Paul B","Stege, Paul B",1,2020,2020,,,C,,,
"Stelloo, Ellen","Stelloo, Ellen",1,2020,2020,,,C,,,
"Suen, Sylvia W F","Suen, Sylvia W F",1,2020,2020,,,C,,,
"Surgenor, Elliot","Surgenor, Elliot",1,2020,2020,,,C,,,
"Sánchez-Cabús, Santiago","Sánchez-Cabús, Santiago",1,2020,2020,,,C,,,
"Sánchez-Romero, Natalia","Sánchez-Romero, Natalia",1,2020,2020,,,C,,,
"Tabata, Yoji","Tabata, Yoji",1,2020,2020,,,C,,,
"Tanaka, Nobuyuki","Tanaka, Nobuyuki",1,2020,2020,,,C,,,
"Top, Janetta","Top, Janetta",1,2020,2020,,,C,,,
"Tripathi, Sushil","Tripathi, Sushil",1,2020,2020,,,C,,,
"Tytgat, Godelieve A M","Tytgat, Godelieve A M",1,2020,2020,2020,2020,A,Princess Máxima,,
"Uhlig, Holm","Uhlig, Holm",1,2020,2020,,,C,,,
"Uhlén, Per","Uhlén, Per",1,2020,2020,,,C,,,
"Vallon, Mario","Vallon, Mario",1,2020,2020,,,C,,,
"Villiger, Lukas","Villiger, Lukas",1,2020,2020,,,C,,,
"Vinke, Christel R","Vinke, Christel R",1,2020,2020,,,C,,,
"Wei, Gaigai","Wei, Gaigai",1,2020,2020,,,C,,,
"Westerink, Remco H S","Westerink, Remco H S",1,2020,2020,,,C,,,
"Wevers, Nienke R","Wevers, Nienke R",1,2020,2020,,,C,,,
"Wiechmann, Svenja","Wiechmann, Svenja",1,2020,2020,,,C,,,
"Wolfswinkel, Jeannette","Wolfswinkel, Jeannette",1,2020,2020,,,C,,,
"Wong, Iris P L","Wong, Iris P L",1,2020,2020,,,C,,,
"Wucherpfennig, Kai","Wucherpfennig, Kai",1,2020,2020,,,C,,,
"Xu, Huiling","Xu, Huiling",1,2020,2020,,,C,,,
"Yan, Yan","Yan, Yan",1,2020,2020,,,C,,,
"Ye, Shicheng","Ye, Shicheng",1,2020,2020,,,C,,,
"Yuki, Kanako","Yuki, Kanako",1,2020,2020,,,C,,,
"Zamboni, Nicola","Zamboni, Nicola",1,2020,2020,,,C,,,
"Zeng, Yi Arial","Zeng, Yi Arial",1,2020,2020,,,C,,,
"Zeng, Zhiyang","Zeng, Zhiyang",1,2020,2020,,,C,,,
"de Bakker, Merijn A G","de Bakker, Merijn A G",1,2020,2020,,,C,,,
"de Graaf, Miranda","de Graaf, Miranda",1,2020,2020,,,C,,,
"de Wolf, Maaike","de Wolf, Maaike",1,2020,2020,,,C,,,
"van Bruggen, Leonie W L","van Bruggen, Leonie W L",1,2020,2020,,,C,,,
"van Huizen, Nick A","van Huizen, Nick A",1,2020,2020,,,C,,,
"van Kleef, Regina G D M","van Kleef, Regina G D M",1,2020,2020,,,C,,,
"van Kuppeveld, Frank J M","van Kuppeveld, Frank J M",1,2020,2020,2020,2020,A,UMC Utrecht Immunology,,
"van Straten, Giora","van Straten, Giora",1,2020,2020,,,C,,,
"van Tienderen, Gilles","van Tienderen, Gilles",1,2020,2020,,,C,,,
"van Vliet, Arno L W","van Vliet, Arno L W",1,2020,2020,2020,2020,A,UMC Utrecht Immunology,,
"van der Doef, Hubert P J","van der Doef, Hubert P J",1,2020,2020,,,C,,,
"Abou-El-Enein, Mohamed","Abou-El-Enein, Mohamed",1,2021,2021,,,C,,,
"Abou-Elkacem, Lotfi","Abou-Elkacem, Lotfi",1,2021,2021,,,C,,,
"Aguirre-Gamboa, Raul","Aguirre-Gamboa, Raul",1,2021,2021,,,C,,,
"Al-Saati, Hanin","Al-Saati, Hanin",1,2021,2021,2021,2021,A,Princess Máxima,,
"Alitalo, Kari","Alitalo, Kari",1,2021,2021,,,C,,,
"Altelaar, Maarten","Altelaar, Maarten",1,2021,2021,,,C,,,
"Andrews, Nancy C","Andrews, Nancy C",1,2021,2021,,,C,,,
"Angelis, Aris","Angelis, Aris",1,2021,2021,,,C,,,
"Appelbaum, Frederick R","Appelbaum, Frederick R",1,2021,2021,,,C,,,
"Armandari, Inna","Armandari, Inna",1,2021,2021,,,C,,,
"Arts, Janine J G","Arts, Janine J G",1,2021,2021,,,C,,,
"Attrée, Ina","Attrée, Ina",1,2021,2021,,,C,,,
"Bakker, Olivier B","Bakker, Olivier B",1,2021,2021,,,C,,,
"Bakker, Petra L","Bakker, Petra L",1,2021,2021,,,C,,,
"Bates, Susan E","Bates, Susan E",1,2021,2021,,,C,,,
"Bauer, Gerhard","Bauer, Gerhard",1,2021,2021,,,C,,,
"Bazrafshan, Ameneh","Bazrafshan, Ameneh",1,2021,2021,,,C,,,
"Berkers, Celia R","Berkers, Celia R",1,2021,2021,,,C,,,
"Berlingerio, Sante P","Berlingerio, Sante P",1,2021,2021,,,C,,,
"Berrone, Céline","Berrone, Céline",1,2021,2021,,,C,,,
"Bezstarosti, Karel","Bezstarosti, Karel",1,2021,2021,,,C,,,
"Bierman, Arlene S","Bierman, Arlene S",1,2021,2021,,,C,,,
"Bittenbinder, Matyas","Bittenbinder, Matyas",1,2021,2021,,,C,,,
"Blocker, Stephanie","Blocker, Stephanie",1,2021,2021,,,C,,,
"Boerema-de Munck, Anne","Boerema-de Munck, Anne",1,2021,2021,,,C,,,
"Bogte, Auke","Bogte, Auke",1,2021,2021,,,C,,,
"Bonfante, Francesco","Bonfante, Francesco",1,2021,2021,,,C,,,
